--- RAG Document Impact Summary ---
Analyzed 100 RAG-mode attacks.
Identified impact for 15 unique RAG documents.

Top 10 Documents by Usage Count:
- pattern_XSS_XSS_Script_context_escape_568 (Kind: payload_pattern, Type: XSS): Used=34, Passed=9, Rate=26.47%
- strategy_XSS_script_tag_xss_3 (Kind: attack_strategy, Type: XSS): Used=34, Passed=9, Rate=26.47%
- pattern_XSS_XSS_Reflected__Generated__1 (Kind: payload_pattern, Type: XSS): Used=34, Passed=9, Rate=26.47%
- pattern_XSS_obf_double_url_encode_obf_whitespace_url_obf_case__3 (Kind: payload_pattern, Type: XSS): Used=34, Passed=9, Rate=26.47%
- pattern_XSS_obf_double_url_encode_obf_case_random_4 (Kind: payload_pattern, Type: XSS): Used=34, Passed=9, Rate=26.47%
- strategy_SQLI_union_based_sqli_16 (Kind: attack_strategy, Type: SQLI): Used=33, Passed=21, Rate=63.64%
- pattern_SQLI_Union_Boolean_SQLI__manual_refine__adv_obf_full_by_72 (Kind: payload_pattern, Type: SQLI): Used=33, Passed=21, Rate=63.64%
- pattern_SQLI_Union_Boolean_SQLI__manual_refine__full_bypass_107 (Kind: payload_pattern, Type: SQLI): Used=33, Passed=21, Rate=63.64%
- pattern_SQLI_Union_Boolean_SQLI__manual_refine__313 (Kind: payload_pattern, Type: SQLI): Used=33, Passed=21, Rate=63.64%
- pattern_SQLI_Union_Boolean_SQLI__manual_refine__adv_obf_543 (Kind: payload_pattern, Type: SQLI): Used=33, Passed=21, Rate=63.64%

Top 10 Documents by Success Rate (used >= 5 times):
- strategy_SQLI_union_based_sqli_16 (Kind: attack_strategy, Type: SQLI): Used=33, Passed=21, Rate=63.64%
- pattern_SQLI_Union_Boolean_SQLI__manual_refine__adv_obf_full_by_72 (Kind: payload_pattern, Type: SQLI): Used=33, Passed=21, Rate=63.64%
- pattern_SQLI_Union_Boolean_SQLI__manual_refine__full_bypass_107 (Kind: payload_pattern, Type: SQLI): Used=33, Passed=21, Rate=63.64%
- pattern_SQLI_Union_Boolean_SQLI__manual_refine__313 (Kind: payload_pattern, Type: SQLI): Used=33, Passed=21, Rate=63.64%
- pattern_SQLI_Union_Boolean_SQLI__manual_refine__adv_obf_543 (Kind: payload_pattern, Type: SQLI): Used=33, Passed=21, Rate=63.64%
- pattern_OS_INJECTION_OS_Command_ls_572 (Kind: payload_pattern, Type: OS_INJECTION): Used=33, Passed=16, Rate=48.48%
- pattern_OS_INJECTION_Command_Injection_2 (Kind: payload_pattern, Type: OS_INJECTION): Used=33, Passed=16, Rate=48.48%
- pattern_OS_INJECTION_Command_Injection_adv_obf_full_bypass_86 (Kind: payload_pattern, Type: OS_INJECTION): Used=33, Passed=16, Rate=48.48%
- pattern_OS_INJECTION_Command_Injection_full_bypass_144 (Kind: payload_pattern, Type: OS_INJECTION): Used=33, Passed=16, Rate=48.48%
- pattern_OS_INJECTION_Command_Injection_adv_obf_556 (Kind: payload_pattern, Type: OS_INJECTION): Used=33, Passed=16, Rate=48.48%
