Technique,Count,Percentage
XSS Keyword (heuristic),1186,4.94%
Double URL Encode,1075,4.48%
Triple URL Encode,1056,4.40%
SQLI Keyword (heuristic),736,3.07%
OS Command id,469,1.95%
OS Command ls,397,1.65%
OS Command whoami,368,1.53%
OS Command ping,351,1.46%
XSS Script context escape,337,1.40%
Error-based UPDATE_XML,237,0.99%
XSS - Unclassified (manual refine),201,0.84%
SQLI - Unclassified (manual refine),198,0.83%
XSS Input onfocus,149,0.62%
XSS Iframe javascript scheme,114,0.47%
Triple URL Encode XSS (heuristic),112,0.47%
Boolean-based OR 1=1 (parentheses),112,0.47%
Auth Bypass Comment,111,0.46%
Boolean-based OR 1=1,110,0.46%
Time-based AND SLEEP,102,0.43%
OS Command cat,97,0.40%
XSS Image onerror,96,0.40%
XSS Body onload,95,0.40%
XSS SVG onload,92,0.38%
XSS Anchor javascript scheme,86,0.36%
Time-based IF SLEEP,85,0.35%
SQLI - Path Traversal / File Inclusion (Manual Refine),81,0.34%
Union-based complex,80,0.33%
Time-based OR SLEEP,79,0.33%
Stacked Query xp_cmdshell,73,0.30%
Union-based simple,69,0.29%
obf_double_url_encode+obf_whitespace_url+obf_case_random_adv_obf,67,0.28%
Error-based EXTRACTVALUE,67,0.28%
obf_double_url_encode+obf_case_random,63,0.26%
obf_double_url_encode+obf_case_random+obf_whitespace_url_adv_obf,62,0.26%
Triple URL GEOMETRYCOLLECTION Error,62,0.26%
Double URL,60,0.25%
obf_url_encode+obf_case_random+obf_double_url_encode,60,0.25%
obf_whitespace_url+obf_case_random+obf_double_url_encode_adv_obf,60,0.25%
Triple URL Encode_adv_obf,59,0.25%
Unicode Homoglyph Homoglyph( -> ),59,0.25%
obf_url_encode+obf_double_url_encode+obf_case_random_adv_obf,59,0.25%
Triple URL_adv_obf,59,0.25%
obf_case_random+obf_whitespace_url+obf_double_url_encode_adv_obf,57,0.24%
obf_double_url_encode+obf_url_encode+obf_case_random,57,0.24%
Triple URL,56,0.23%
obf_case_random+obf_double_url_encode+obf_whitespace_url,54,0.22%
obf_whitespace_url+obf_double_url_encode_adv_obf,54,0.22%
obf_double_url_encode+obf_case_random+obf_whitespace_url,54,0.22%
obf_url_encode+obf_double_url_encode+obf_case_random,54,0.22%
obf_whitespace_url+obf_comment_sql+obf_double_url_encode_adv_obf,54,0.22%
obf_case_random+obf_double_url_encode+obf_whitespace_url_adv_obf,54,0.22%
obf_comment_sql_version+obf_comment_sql+obf_double_url_encode,53,0.22%
SQLI - Unclassified (manual refine)_adv_obf,53,0.22%
obf_case_random+obf_double_url_encode+obf_url_encode_adv_obf,52,0.22%
Double URL XSS DOM-based_adv_obf,52,0.22%
obf_whitespace_url+obf_case_random+obf_double_url_encode_adv_obf_full_bypass,52,0.22%
obf_comment_sql_version+obf_double_url_encode+obf_comment_sql,52,0.22%
obf_whitespace_url+obf_double_url_encode,51,0.21%
obf_case_random+obf_comment_sql_version+obf_double_url_encode,51,0.21%
obf_case_random+obf_double_url_encode,51,0.21%
obf_case_random+obf_double_url_encode_adv_obf,51,0.21%
obf_double_url_encode+obf_comment_sql_version+obf_case_random_adv_obf_full_bypass,51,0.21%
obf_whitespace_url+obf_url_encode+obf_double_url_encode_adv_obf,51,0.21%
XSS Reflected (Generated),51,0.21%
obf_whitespace_url+obf_case_random+obf_double_url_encode,51,0.21%
obf_double_url_encode+obf_url_encode+obf_case_random_adv_obf,50,0.21%
obf_case_random+obf_whitespace_url+obf_double_url_encode,50,0.21%
Double URL Encode (heuristic)_adv_obf,50,0.21%
obf_comment_sql_version+obf_double_url_encode+obf_url_encode,50,0.21%
Union/Boolean SQLI (manual refine)_adv_obf,50,0.21%
obf_case_random+obf_whitespace_url+obf_double_url_encode_adv_obf_full_bypass,49,0.20%
obf_url_encode+obf_case_random+obf_double_url_encode_full_bypass,48,0.20%
obf_whitespace_url+obf_double_url_encode+obf_url_encode,48,0.20%
obf_url_encode+obf_case_random+obf_double_url_encode_adv_obf,48,0.20%
obf_case_random+obf_double_url_encode+obf_comment_sql_version,48,0.20%
Double URL POLYGON Error,48,0.20%
obf_whitespace_url+obf_double_url_encode+obf_case_random_adv_obf,48,0.20%
Command Injection,48,0.20%
SQLI - Null Byte Injection (Manual Refine),48,0.20%
Double URL MULTILINESTRING Error,47,0.20%
Double URL Encode XSS (manual refine),47,0.20%
Triple URL GEOMETRYCOLLECTION Error_adv_obf,47,0.20%
obf_double_url_encode+obf_case_random_adv_obf,47,0.20%
Double URL NAME_CONST Error,47,0.20%
obf_comment_sql_version+obf_double_url_encode+obf_comment_sql_full_bypass,47,0.20%
Triple URL Encode (heuristic)_adv_obf_full_bypass,47,0.20%
obf_comment_sql+obf_case_random+obf_double_url_encode,47,0.20%
obf_whitespace_url+obf_comment_sql+obf_double_url_encode_adv_obf_full_bypass,47,0.20%
obf_comment_sql_version+obf_comment_sql+obf_double_url_encode_full_bypass,46,0.19%
obf_comment_sql+obf_url_encode+obf_double_url_encode,46,0.19%
Double URL_adv_obf,46,0.19%
obf_double_url_encode+obf_comment_sql+obf_url_encode,46,0.19%
