step,value,wall_time,tag,source_file
1,0.5787000060081482,1765195056.0857012,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
50,0.6617000102996826,1765195233.5298722,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
100,0.45980000495910645,1765195420.5861173,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
150,0.45260000228881836,1765195615.9457312,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
200,0.40139999985694885,1765195807.41674,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
250,0.40220001339912415,1765196002.4253466,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
300,0.4138000011444092,1765196191.9082434,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
350,0.4194999933242798,1765196385.36538,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
400,0.3912999927997589,1765196574.2156816,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
450,0.3952000141143799,1765196769.7417924,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
500,0.39719998836517334,1765196962.1924613,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
550,0.3765999972820282,1765197157.2502787,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
600,0.38920000195503235,1765197341.4802775,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
650,0.3610000014305115,1765197534.9518957,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
700,0.383899986743927,1765197727.7789505,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
750,0.38749998807907104,1765197921.9273808,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
800,0.3822000026702881,1765198119.146746,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
850,0.37209999561309814,1765198317.6496987,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
900,0.37220001220703125,1765198508.777301,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
950,0.3799999952316284,1765198700.778007,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
1000,0.3856000006198883,1765198893.1591053,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
1050,0.38440001010894775,1765199089.222392,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
1100,0.3619000017642975,1765199282.5806577,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
1150,0.3361000120639801,1765199474.9305604,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
1200,0.35830000042915344,1765199670.3901677,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
1250,0.34360000491142273,1765199857.2154062,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
1300,0.34139999747276306,1765200053.5484087,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
1350,0.3732999861240387,1765200245.8544428,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
1400,0.3434999883174896,1765200433.791261,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
1450,0.3375000059604645,1765200628.8343878,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
1500,0.3327000141143799,1765200818.04921,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
1550,0.3102000057697296,1765201006.6545117,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
1600,0.31700000166893005,1765201203.9388664,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
1650,0.30720001459121704,1765201398.6796494,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
1700,0.304500013589859,1765201594.5519774,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
1750,0.31119999289512634,1765201789.4234092,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
1800,0.32749998569488525,1765201978.8899949,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
1850,0.296999990940094,1765202170.8110254,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
1900,0.3019999861717224,1765202366.559766,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
1950,0.33500000834465027,1765202562.546737,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
2000,0.3068999946117401,1765202752.5927176,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
2050,0.3012999892234802,1765202949.3160238,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
2100,0.29109999537467957,1765203146.1763403,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
2150,0.32919999957084656,1765203338.185621,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
2200,0.260699987411499,1765203524.6343496,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
2250,0.3021000027656555,1765203715.3975074,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
2300,0.3059000074863434,1765203910.1942472,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
2350,0.3093999922275543,1765204100.051953,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
2400,0.31029999256134033,1765204290.7323933,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
2450,0.2824999988079071,1765204484.2810311,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
2500,0.27459999918937683,1765204677.2204468,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
2550,0.3012000024318695,1765204871.695691,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
2600,0.29510000348091125,1765205065.7129614,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
2650,0.289900004863739,1765205262.4017968,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
2700,0.3012000024318695,1765205454.9018927,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
2750,0.2849999964237213,1765205642.4586608,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
2800,0.2897000014781952,1765205830.6193137,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
2850,0.26420000195503235,1765206019.6776636,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
2900,0.2912999987602234,1765206211.4648564,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
2950,0.2879999876022339,1765206398.8502512,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
3000,0.3199000060558319,1765206595.02468,train/loss,events.out.tfevents.1765195044.bb24cc31a678.42585.0
