id,payload,status,response_size,blocked
0,1' or '$@' or 1 = 1 -- 1,403,146,True
1,1' or '1' = 1 or 1 = 1 -- 1,403,146,True
2,OrDeR/**/By 37#,200,1523,False
3,1 = 1 ',200,1523,False
4,1' or '1' or 1 = 1 -- 1,403,146,True
5,"SELECT *,",200,1523,False
6,-- 1' or 1 = 1 -- 1,403,146,True
7,1' or 1 = 1 or 1 = 1 -- 1,403,146,True
8,1' or 1 =,200,1523,False
9,"SELECT 'union all select 1000,1000,1000,1000#,1 -- 1",403,146,True
10,127.0.0.1'-- 1,200,1523,False
11,"1012 = 1012 ' union all select 1012,1012,1012,1012,1012,1012,1012,1012,1012,1012#,1 -- 1",403,146,True
12,"SELECT 1,1",200,1523,False
13,1721 = 1721,200,1523,False
14,ORDER/**/BY 34#,200,1523,False
15,16#,200,1523,False
16,"1937 = 1937 ' union all select 1937,1937,1937,1937,1937,1937,1937,1937,1937,1937#,1 -- 1",403,146,True
17,1' or 1 = 1 -- 1,403,146,True
18,"SELECT 1,137,137 AS 'id', 137,137,1",200,1523,False
19,1' or '%{' or 1 = 1 -- 1,403,146,True
20,OrDeR/**/By 47#,200,1523,False
21,"SELECT * FROM users WHERE id = 31331  UNION ALL SELECT ' union all select 31331,31331#,1 -- 1",403,146,True
22,"SELECT *, ' union all select 1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576#,1 -- 1",403,146,True
23,1' or 1 = 1 or,200,1523,False
24,ORDER/**/BY 31#,200,1523,False
25,"1997,1997,'1'='1',1 -- 1",403,146,True
26,ORDER/**/BY 33,200,1523,False
27,1,200,1523,False
28,"1599 = 1599 ' union all select 1599,1599,1599,1599,1599,1599,1599,1599#,1 -- 1",403,146,True
29,1' or '1' = '1 ' or 1 = 1 -- 1,403,146,True
30,1' or '1',200,1523,False
31,1' or '1=' or 1 = 1 -- 1,403,146,True
32,1' or 1 = 1,403,146,True
33,1' or 1 = 1 or 1 = 1 -- 1,403,146,True
34,"1933 = 1933 ' union all select 1933,1933,1933,1933,1933,1933,1933#,1 -- 1",403,146,True
35,1' or '1=1 -- 1,403,146,True
36,1' or 1 = 1 -- 1,403,146,True
37,"SELECT *,",200,1523,False
38,1' or '1' = '1' or 1 = 1 -- 1,403,146,True
39,"ORDER/**/BY 42#,1 -- 1",200,1523,False
40,1' or 1 = 1 or 1 = 1 -- 1,403,146,True
41,1' or 1 = 1 -- 1,403,146,True
42,"1368 = 1368 ' union all select 1368,1368,1368,1368,1368,1368,1368,1368#,1 -- 1",403,146,True
43,ORDER/**/BY 31#,200,1523,False
44,"1168 = 1168 ' union all select 1168,1168,1168,1168,1168,1168,1168,1168,1168,1168#,1 -- 1",403,146,True
45,OrDeR/**/By 17#,200,1523,False
46,"1978 = 1978 ' union all select null,null,null,null,null,null,null,null,null#,1 -- 1",403,146,True
47,1' or,200,1523,False
48,1' or '1' = 1 -- 1,403,146,True
49,124,200,1523,False
50,"1' union all select 1366,1366,1366",403,146,True
51,1' or '1' = 1'--1,403,146,True
52,1' or '1' or 1 = 1 -- 1,403,146,True
53,ORDER/**/BY 12#,200,1523,False
54,"1789 = 1789 ' union all select 1789,1789,1789,1789,1789,1789,1789#,1 -- 1",403,146,True
55,"ORDER/**/BY 18#,1",200,1523,False
56,ORDER/**/BY 16#,200,1523,False
57,1 =,200,1523,False
58,1' or '1=' or 1 = 1 -- 1,403,146,True
59,"SELECT /*+REPL1*/#,1#,1#,1#,1#,1#,1#,1#,1#,1#,1#,1#,1#,1#,1#,1#,1#,1#,1#,1#,1#,1#,1#,1#,1#,1#,1#,1#,1#,1#,1#,1#,1#,1#,1#,1#,1#,1#,1#,1#,1#,1#,1#,1#,1#,",200,1523,False
60,"1418 = 1418 ' union all select 1418,1418,1418,1418,1418,1418,1418,1418,1418,1418,1418,1418,1418,1418,1418,1418,",403,146,True
61,116#,200,1523,False
62,"2569 = 2569 ' union all select 2569,2569,2569,2569,2569,2569,2569,2569#,1 -- 1",403,146,True
63,"SELECT 1,1#1 -- 1",200,1523,False
64,1 = 1 -- 1,403,146,True
65,1' or 1 =,200,1523,False
66,"1909 = 1909 ' union all select 1909,1909,1909,1909,1909,1909,1909,1909,1909#,1 -- 1",403,146,True
67,ORDER/**/BY 11#,200,1523,False
68,119,200,1523,False
69,"1' or '1' = 1,1 -- 1",403,146,True
70,1' or '1' or 1 = 1 -- 1,403,146,True
