id,payload,status,response_size,blocked
0,1' or '1' = '1 or 1 = 1 -- 1,403,146,True
1,1' or ' ( [' or 1 = 1 -- 1,403,146,True
2,"1' union all select null,null#,1 -- 1",403,146,True
3,1 and 2853 = cast  (*) ||chr (*) ||chr (*) ||chr (*) ||chr (*)  )  || (*)  then 1 else 0 end  )  )  ::text|| (*) ||chr (*) ||chr (*) ||chr (*) ||chr (*)  )   as numeric ) --,403,146,True
4,1 and 4241 = convert (*) +char (*) +char (*) +char (*) +char (*) + (*)  then char (*)  else char (*)  end  )  )  +char (*) +char (*) +char (*) +char (*) +char (*)  )   ) --,403,146,True
5,"1' union select version (*) ,version (*)  --",403,146,True
6,1' or '1#' or 1 = 1 -- 1,403,146,True
7,1' or '$#' or 1 = 1 -- 1,403,146,True
8,1' or '1' = 1 or 1 = 1 -- 1,403,146,True
9,"1' union all select null,null,null#,1 -- 1",403,146,True
10,"1' union all select null,null#,1 -- 1",403,146,True
11,"1' union select null,@@VERSION -- 1",403,146,True
12,"1  )  )   and 3824 = benchmark (*)  )   and   (  (   ( 6556 = 6556,1 -- 1",403,146,True
13,"1' union select 1,banner from v$version where rownum = 1 -- 1",403,146,True
14,"1' union select 1,banner from v$version where' rownumnum = 1 -- 1",403,146,True
15,"1 ' union select null,@@VERSION -- 1",403,146,True
16,"1' union all select null,null#,1 -- 1",403,146,True
17,"1' union select 1,banner from v$version where' rownumnum = 1 -- 1",403,146,True
18,1' or ' ( [' or 1 = 1 -- 1,403,146,True
19,"1%' union all select null,null,null,null,null#,1 -- 1",403,146,True
20,1' or '1{' or 1 = 1 -- 1,403,146,True
21,"1' union all select null,null#,1 -- 1",403,146,True
22,"1 ' union select null,null,null,null,null,null,null,null#,1 -- 1",403,146,True
23,"1%' union select null,@@VERSION -- 1",403,146,True
24,1' or '@#' or 1 = 1 -- 1,403,146,True
25,1' or ' ( {' or 1 = 1 -- 1,403,146,True
26,"1' union all select null,null,null,null,null,null,null,null#,1 -- 1",403,146,True
27,"1' union select 1,banner from v$version where rownum = 1 --",403,146,True
28,"1' or 1#', ' union select 1,version (*)  --",403,146,True
29,"4045 = 4045 ' union all select null,null,null,null,null,null,null,null#,1 -- 1",403,146,True
30,1' or 1#'1 -- 1,403,146,True
31,1' or ' ( 1' or 1 = 1 -- 1,403,146,True
32,1' or ' ( {' or 1 = 1 -- 1,403,146,True
33,1' or ' ( ' or 1 = 1 -- 1,403,146,True
34,"1 and 3824 = benchmark (*)  )  # igen,1 -- 1",403,146,True
35,"1' union select version (*) ,version (*) ,version (*) ,version (*) ,version (*) ,version (*)  -- 1",403,146,True
36,"1' or ',;' or 1 = 1 -- 1",403,146,True
37,1' or '1#' or 1 = 1 -- 1,403,146,True
38,"1' union select 1,banner from v$version where rownum = 1 -- 1",403,146,True
39,1' or '%1' or 1 = 1 -- 1,403,146,True
40,"1' union all select null,null,null,null,null,null,null,null#,1 -- 1",403,146,True
41,"1 ' union all select null,null,null,null,null,null#,1 -- 1",403,146,True
42,1' or '%1' or 1 = 1 -- 1,403,146,True
43,"1' union select null,banner from v$version where' rownumnum = 1 --",403,146,True
44,1' or ' ) ' or 1 = 1 -- 1,403,146,True
45,"1 ' union select null,banner from v$version where' rownumnum = 1 -- 1",403,146,True
46,1' or '1{' or 1 = 1 -- 1,403,146,True
47,"1' union select 1,version (*)  --",403,146,True
48,1' or 1#' = 1 or 1 = 1 -- 1,403,146,True
49,1' or '1#' or 1 = 1 -- 1,403,146,True
50,"-5199%' union all select 6455,6455,6455,6455,6455,6455,6455,6455,6455#,1 -- 1",403,146,True
51,"1%' union select null,banner from v$version where' rownumnum = 1 -- 1",403,146,True
52,1' or '@ ) ' or 1 = 1 -- 1,403,146,True
53,1' or ' ( _' or 1 = 1 -- 1,403,146,True
54,"1' union select null,banner from v$version where' rownumnum = 1 -- 1",403,146,True
55,"1' or 1#'@ ' union select version (*) ,version (*)  -- 1",403,146,True
56,1 and 4241 = convert (*) +char (*) +char (*) +char (*) +char (*) + (*)  then char (*)  else char (*)  end  )  )  +char (*) +char (*) +char (*) +char (*) +char (*)  )   ) --,403,146,True
57,"1' or ',1' or 1 = 1 -- 1",403,146,True
58,1' or ' ( [' or 1 = 1 -- 1,403,146,True
59,1' or '1 ( ' = 1 or 1 = 1 -- 1,403,146,True
60,"1' union all select null,null,null,null,null,null,null,null,null#,1 -- 1",403,146,True
61,"1' union select 1,version (*)  --",403,146,True
62,"1' union all select null,null#,1 -- 1",403,146,True
63,"1' union all select null,null,null,null,null,null,null,null,null#,1 -- 1",403,146,True
64,"1' union select null,banner from v$version where' rownumnum = 1 -- 1",403,146,True
65,1' or ' ( #' or 1 = 1 -- 1,403,146,True
66,1' or ' ( 1' or 1 = 1 -- 1,403,146,True
67,"1' union all select null,null,null,null,null#,1 -- 1",403,146,True
68,1 and 2853 = cast  (*) ||chr (*) ||chr (*) ||chr (*) ||chr (*)  )  || (*)  then 1 else 0 end  )  )  ::text|| (*) ||chr (*) ||chr (*) ||chr (*) ||chr (*)  )   as numeric ) --,403,146,True
69,"1' union all select null,null,null,null,null#,1 -- 1",403,146,True
70,"-3847%' union all select 2099,2099,2099,2099,2099,2099,2099,2099,2099#,1 -- 1",403,146,True
71,1' or '1' or 1 = 1 -- 1,403,146,True
